,author,content,description,publishedAt,source,title,url,urlToImage
37,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-18T10:32:40Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",HSBC Gears Up for China Listing Through Shanghai-London Link,https://www.bloomberg.com/tosv2.html?vid=&uuid=ae666b40-d2c8-11e8-b31e-abfb62c9ad8d&url=L25ld3MvdmlkZW9zLzIwMTgtMTAtMTgvaHNiYy1nZWFycy11cC1mb3ItY2hpbmEtbGlzdGluZy10aHJvdWdoLXNoYW5naGFpLWxvbmRvbi1saW5rLXZpZGVv,
38,,"Tony Finau celebrates his birdie on the 18th as he maintained the three-shot lead he started the day with WGC-HSBC Champions second-round leaderboard -13 T Finau (US); -10 P Reed (US), X Schauffele, J Rose (Eng); -8 T Fleetwood (Eng), A Putnam (US) Selected o… [+1866 chars]",Tony Finau will take a three-shot lead into the final day of the WGC-HSBC Champions in China after Justin Rose faltered towards the end of round three.,2018-10-27T11:48:12Z,"{'id': 'bbc-news', 'name': 'BBC News'}",WGC-HSBC Champions: Justin Rose falters to gift lead to Tony Finau in Shanghai,https://www.bbc.co.uk/sport/golf/46002166,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/2427/production/_104055290_tv050216464.jpg
39,Andrew Torchia,"RIYADH (Reuters) - Saudi Arabia was set to sign deals worth $50 billion on Tuesday at the opening of an investment conference despite being overshadowed by the killing of journalist Jamal Khashoggi which prompted a boycott by Western politicians, top world ba… [+4560 chars]","Saudi Arabia was set to sign deals worth $50 billion on Tuesday at the opening of an investment conference despite being overshadowed by the killing of journalist Jamal Khashoggi which prompted a boycott by Western politicians, top world bankers and company e…",2018-10-23T10:47:42Z,"{'id': 'reuters', 'name': 'Reuters'}",Saudi sees deals worth $50 billion at investment conference despite boycotts,https://www.reuters.com/article/us-saudi-investment/saudi-sees-deals-worth-50-billion-at-investment-conference-despite-boycotts-idUSKCN1MW2TW,https://s4.reutersmedia.net/resources/r/?m=02&d=20181023&t=2&i=1317736639&w=1200&r=LYNXNPEE9M0PZ
40,Indradip Ghosh,"BENGALURU (Reuters) - The outlook for global growth in 2019 has dimmed for the first time, according to Reuters polls of economists who said the U.S.-China trade war and tightening financial conditions would trigger the next downturn. At the start of 2018, op… [+4525 chars]","The outlook for global growth in 2019 has dimmed for the first time, according to Reuters polls of economists who said the U.S.-China trade war and tightening financial conditions would trigger the next downturn.",2018-10-22T00:21:09Z,"{'id': 'reuters', 'name': 'Reuters'}",Global growth outlook for 2019 dims for first time: Reuters polls,https://www.reuters.com/article/us-global-economy-poll/global-growth-outlook-for-2019-dims-for-first-time-reuters-polls-idUSKCN1MW00F,https://s4.reutersmedia.net/resources/r/?m=02&d=20181022&t=2&i=1317238539&w=1200&r=LYNXNPEE9L00V
41,Marwa Rashad,"RIYADH (Reuters) - Saudi Arabia’s powerful Crown Prince Mohammed bin Salman vowed on Wednesday that the killers of Jamal Khashoggi would be brought to justice, in his first public comments since the journalist’s murder sparked global condemnation. Striking a … [+5929 chars]","Saudi Arabia's powerful Crown Prince Mohammed bin Salman vowed on Wednesday that the killers of Jamal Khashoggi would be brought to justice, in his first public comments since the journalist's murder sparked global condemnation.",2018-10-24T17:50:20Z,"{'id': 'reuters', 'name': 'Reuters'}",Saudi crown prince vows to bring Khashoggi killers to justice,https://www.reuters.com/article/us-saudi-khashoggi/saudi-crown-prince-vows-to-bring-khashoggi-killers-to-justice-idUSKCN1MY1RW,https://s4.reutersmedia.net/resources/r/?m=02&d=20181024&t=2&i=1318214326&w=1200&r=LYNXNPEE9N1JT
42,Hadley Freeman,"Are you living your best life? Do you glow with good health? Are you springing out of bed every morning? Are you mindful of every moment? Feeling like each day is truly #blessed? You may feel you are dealing with quite enough questions these days, from Should… [+4679 chars]",The daily routine diary has become my new favourite journalism genre Are you living your best life? Do you glow with good health? Are you springing out of bed every morning? Are you mindful of every moment? Feeling like each day is truly #blessed? You may fee…,2018-11-10T09:00:38Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}","Four hours' sleep, yoga at dawn – are today's influencers really living their best lives?",https://www.theguardian.com/commentisfree/2018/nov/10/four-hours-sleep-yoga-dawn-todays-influencers-best-lives,https://i.guim.co.uk/img/media/6eab4d0ebddf0756c469fa26b5960ad7bf3eb4e8/0_244_4151_2491/master/4151.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&s=f27d53c3426758187aacfc1e2824db7a
43,Tara Seals,"The data breach includes names, addresses, transaction histories, account information and more. International banking giant HSBC has reported that it was breached in October, as a result of a credential-stuffing attack. In a notice [PDF] filed with the state … [+2950 chars]","The data breach includes names, addresses, transaction histories, account information and more.",2018-11-06T22:53:39Z,"{'id': None, 'name': 'Threatpost.com'}",HSBC Data Breach Hits Online Banking Customers,https://threatpost.com/hsbc-data-breach-hits-online-banking-customers/138856/,https://media.threatpost.com/wp-content/uploads/sites/103/2018/11/06172522/onlajn-banking.jpg
44,Jon Henley in Berlin,"Two separate polls have suggested that Friedrich Merz, a rightwinger with a longstanding grudge against Angela Merkel, is emerging as the frontrunner to succeed her as party leader, potentially accelerating her departure as chancellor. Merkel said on Monday s… [+5059 chars]","Socially conservative Friedrich Merz is longstanding opponent of German chancellor Two separate polls have suggested that Friedrich Merz, a rightwinger with a longstanding grudge against Angela Merkel, is emerging as the frontrunner to succeed her as party le…",2018-10-31T15:50:49Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Rightwinger leads race to succeed Angela Merkel as party chair,https://www.theguardian.com/world/2018/oct/31/rightwinger-leads-race-to-succeed-angela-merkel-as-party-chair,https://i.guim.co.uk/img/media/ae22f68a9d592a26aa932434c8395e26d819179d/0_0_2560_1536/master/2560.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=578ac555628887acf2e3d63e710a4502
45,Sarah Butler,"Mike Ashleys Sports Direct has bought Evans Cycles out of administration but has warned it may have to close half the specialist retailers 62 stores putting hundreds of jobs at risk. Evans, which traces its roots back nearly 100 years, had been seeking a buye… [+4225 chars]",Around 30 of cycle shop chain’s 62 UK stores could close after sports retailer buys firm out of administration Mike Ashley’s Sports Direct has bought Evans Cycles out of administration but has warned it may have to close half the specialist retailer’s 62 stor…,2018-10-30T16:41:15Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Fears for hundreds of jobs as Sports Direct buys up Evans Cycles,https://www.theguardian.com/business/2018/oct/30/fears-for-uk-jobs-as-sports-direct-buys-up-evans-cycles,https://i.guim.co.uk/img/media/7f3ccb5b8ab0b51021310884f195fcd9587fe787/66_0_3368_2022/master/3368.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=d079737d9e5113cbad9510c4188af468
46,"Davey Winder, Contributor, Davey Winder, Contributor https://www.forbes.com/sites/daveywinder/",Share to facebook Share to twitter Share to linkedin HSBC Bank informs customers of risk to personal information after breach It appears that an undisclosed number of HSBC Bank customers may have had personal information exposed as a result of a data breach. … [+7762 chars],"A breach at HSBC Bank USA could be costly for customers whose account numbers, transaction history and payee account information has potentially been compromised. It could also be expensive for HSBC if private lawsuits and the potential for class action shoul…",2018-11-06T16:10:00Z,"{'id': None, 'name': 'Forbes.com'}",HSBC Bank USA Admits Breach Exposing Account Numbers And Transaction History,https://www.forbes.com/sites/daveywinder/2018/11/06/hsbc-bank-usa-admits-breach-exposing-account-numbers-and-transaction-history/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F458947703%2F960x0.jpg%3Ffit%3Dscale
47,,"To continue, please click the box below to let us know you're not a robot.",,2018-11-06T06:38:53Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}","HSBC CEO Says 10% U.S. Tariff 'Digestible,' 25% Shot 'Different Order of Magnitude'",https://www.bloomberg.com/tosv2.html?vid=&uuid=11da4740-e193-11e8-a649-d7186f270052&url=L25ld3MvdmlkZW9zLzIwMTgtMTEtMDYvaHNiYy1jZW8tc2F5cy0xMC11LXMtdGFyaWZmLWRpZ2VzdGlibGUtMjUtc2hvdC1kaWZmZXJlbnQtb3JkZXItb2YtbWFnbml0dWRlLXZpZGVv,
48,PTI,"By: PTI | Published: October 25, 2018 6:31:08 pm Gaganjeet Bhullar had three each of birdies and bogeys as he found 78 per cent of the fairways. (Source: Express Photo by Ravi Choudhary) Gaganjeet Bhullar carded an even par 72 but debutant Shubhankar Sharma c… [+1894 chars]",Gaganjeet Bhullar carded an even par 72 but debutant Shubhankar Sharma crashed to eight-over 80 on the opening day of the WGC-HSBC Champions,2018-10-25T13:01:08Z,"{'id': None, 'name': 'Indianexpress.com'}","Gaganjeet Bhullar lies 27th, Shubhankar Sharma struggles with 80 on day 1 of WGC",https://indianexpress.com/article/sports/golf/gaganjeet-bhullar-lies-27th-shubhankar-sharma-struggles-with-80-on-day-1-of-wgc-5418563/,https://images.indianexpress.com/2017/10/bhullar-759.jpg?w=759
49,Daniel Van Dyke,Business Insider Intelligence is announcing the banks with the most desirable mobile banking features in each category of our 2018 Mobile Banking Competitive Edge study. This announcement follows a previous note that examined the top five banks in terms of ov… [+4469 chars],Business Insider Intelligence is announcing the banks with the most desirable mobile banking features in each category of our 2018 Mobile Banking Competitive Edge study. This announcement follows a previous note that examined the top five banks in terms of ov…,2018-10-31T21:56:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",These banks offer the most desirable mobile features across categories,https://www.businessinsider.com/these-banks-offer-the-most-desirable-mobile-features-across-categories-2018-10,https://amp.businessinsider.com/images/5bd9c9e1101142328475e1a9-2732-1366.jpg
50,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-19T13:05:54Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Ex-HSBC Banker Guilty of Money Laundering at Paris Drug Trial,https://www.bloomberg.com/tosv2.html?vid=&uuid=ae894890-d3a4-11e8-aba0-091e4a57cc71&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0xOS9leC1oc2JjLWJhbmtlci1ndWlsdHktb2YtbW9uZXktbGF1bmRlcmluZy1hdC1wYXJpcy1kcnVnLXRyaWFs,
51,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-24T11:12:03Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Cantor Joins Top HSBC Banker at Saudi Summit as Rivals Stay Away,https://www.bloomberg.com/tosv2.html?vid=&uuid=f6db3990-d783-11e8-8b55-65d79352dd66&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0yNC9jYW50b3Itam9pbnMtdG9wLWhzYmMtYmFua2VyLWF0LXNhdWRpLXN1bW1pdC1hcy1yaXZhbHMtc3RheS1hd2F5,
52,,"To continue, please click the box below to let us know you're not a robot.",,2018-10-31T10:31:10Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",U.K. Court Makes It Official: Ex-HSBC Trader Won't Be Extradited,https://www.bloomberg.com/tosv2.html?vid=&uuid=9eaed7f0-dcff-11e8-af11-dd8847996627&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0zMS91LWstY291cnQtbWFrZXMtaXQtb2ZmaWNpYWwtZXgtaHNiYy10cmFkZXItd29uLXQtYmUtZXh0cmFkaXRlZA==,
53,Michael Bodley,"To sell more smartwatches, Samsung is eyeing the wrists of bank employees. The brand inked a deal with HSBC in September to customize 12 Samsung Gear S3 watches for HSBC bankers at the company’s Fifth Avenue branch in New York City. The custom watches were f … [+2975 chars]","As Samsung tries to rebound from slowing growth from smartphone sales, the Apple competitor is renewing its push into the business-to-business sector. The post HSBC tests smartwatches as a way to cut wait times appeared first on Digiday.",2018-10-23T04:00:56Z,"{'id': None, 'name': 'Digiday.com'}",HSBC tests smartwatches as a way to cut wait times,https://digiday.com/retail/hsbc-samsung-smartwatches-customer-service/,https://digiday.com/wp-content/uploads/2018/03/hsbc.png
54,Andrew Keshner,"A financial marketing executive started missing work because she was on a grand jury, which ultimately led her boss to fire her, a new gender discrimination suit claims. Catherine Cardaci alleges the asset manager VanEck Associates Corp., where she was employ… [+4103 chars]",A former top executive at asset manager VanEck Associates alleges gender discrimination.,2018-10-24T19:25:58Z,"{'id': None, 'name': 'Marketwatch.com'}","Female executive at fund manager was fired for fulfilling jury duty, lawsuit claims",https://www.marketwatch.com/story/female-executive-at-fund-manager-was-fired-for-fulfilling-jury-duty-lawsuit-claims-2018-10-24,http://s.marketwatch.com/public/resources/MWimages/MW-GS368_shadow_ZG_20181024152016.jpg
55,,"LONDON (Reuters) - Britain's top share index rose robustly on Monday as HSBC led a rally in banking stocks after strong results, and investors awaited Chancellor Philip Hammond's annual budget. Hammond, who delivers the budget at 1530 GMT, will offer a glimps… [+2687 chars]",HSBC helps boost FTSE as markets recover from sharp falls,2018-10-29T12:23:04Z,"{'id': None, 'name': 'Euronews.com'}",HSBC helps boost FTSE as markets recover from sharp falls,https://www.euronews.com/2018/10/29/hsbc-helps-boost-ftse-as-markets-recover-from-sharp-falls,https://static.euronews.com/articles/stories/03/40/52/66/1000x563_cmsv2_b69c0baa-ae4c-5f3e-9d22-7c53317d758b-3405266.jpg
56,,"DUBAI: Corporate bigwigs are pulling out of an investment conference in Saudi Arabia next week concerned by the fate of missing journalist Jamal Khashoggi, despite the risk of losing business with the kingdom. Others are staying mum over their intentions whil… [+1727 chars]","Corporate bigwigs are pulling out of an investment conference in Saudi Arabia next week concerned by the fate of missing journalist Jamal Khashoggi, despite the risk of losing business with the kingdom. Others are staying mum over their intentions while forei…",2018-10-17T11:11:47Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Khashoggi case:No-shows at Saudi investment conference,https://timesofindia.indiatimes.com/world/middle-east/khashoggi-caseno-shows-at-saudi-investment-conference/articleshow/66261486.cms,"https://static.toiimg.com/thumb/msid-66261785,width-1070,height-580,imgsize-11017464,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
